"The Surf Club Restaurant","9011 Collins Ave (Four Seasons)","Surfside, FL 33154","Continental/Fine Dining","$$$$","4.6/5 Google","N/A","N/A","Wanderlog/dishmiami (Michelin star)","Surfside"
"Lido Restaurant","9011 Collins Ave (Four Seasons Surf Club)","Surfside, FL 33154","Coastal Italian","$$$$","4.1/5 Google","416","N/A","dishmiami","Surfside"
"Winston's On The Beach","Four Seasons Surf Club","Surfside, FL 33154","Casual Seafood","$$$","N/A","N/A","N/A","Miami and Beaches","Surfside"
"Cafe Ragazzi","Surfside","Surfside, FL 33154","Italian-American","$$","4.2/5 Google","328","N/A","Miami and Beaches","Surfside"
"Neya","9491 Harding Ave","Surfside, FL 33154","Modern Israeli","$$","4.9/5 Google","N/A","N/A","Wanderlog","Surfside"
"Flanigan's (Surfside)","Surfside","Surfside, FL 33154","Steaks/Seafood","$$","4.3/5 Google","612","N/A","Miami and Beaches","Surfside"
"Fialkoff's Kosher Pizza","Surfside","Surfside, FL 33154","Kosher Pizza","$$","3.8/5 Google","116","N/A","Miami and Beaches","Surfside"
"Hikari","Surfside","Surfside, FL 33154","Sushi/Kosher","$$$","4.3/5 Google","96","N/A","Miami and Beaches","Surfside"
"Cine Citta Caffe","9544 Harding Ave","Surfside, FL 33154","Italian/Kosher Dairy","$$","3.7/5 Google","N/A","N/A","Wanderlog","Surfside"
"Carpaccio","9700 Collins Ave","Bal Harbour, FL 33154","Italian","$$-$$$","4.3/5 TA / 4.4 Google","2,711+ TA","(305) 867-7777","Tripadvisor/dishmiami","Bal Harbour"
"Makoto","9700 Collins Ave","Bal Harbour, FL 33154","Japanese/Sushi","$$$$","4.4/5 TA / 4.5 Google","1,132+ TA","N/A","Tripadvisor/dishmiami","Bal Harbour"
"Artisan Beach House","10295 Collins Ave (Ritz-Carlton)","Bal Harbour, FL 33154","Seafood/Global","$$-$$$","3.9/5 TA / 4.4 Google","67+ TA","N/A","Tripadvisor/dishmiami","Bal Harbour"
"The Terrace Restaurant","Bal Harbour Shops","Bal Harbour, FL 33154","Italian/American","$$-$$$","4.8/5 TA","81+ TA","N/A","Tripadvisor","Bal Harbour"
"Le Zoo","Bal Harbour Shops","Bal Harbour, FL 33154","French","$$-$$$","4.1/5 TA","435+ TA","N/A","Tripadvisor","Bal Harbour"
"Aba Miami (Bal Harbour)","Bal Harbour Shops","Bal Harbour, FL 33154","Mediterranean","$$$$","4.0/5 TA","34+ TA","N/A","Tripadvisor","Bal Harbour"
"Atlantikos","Bal Harbour Shops","Bal Harbour, FL 33154","Seafood/Mediterranean","$$$$","3.8/5 Google","185","N/A","Tripadvisor","Bal Harbour"
"The St. Regis Bar (St Regis Bal Harbour)","9703 Collins Ave","Bal Harbour, FL 33154","International/Sushi","$$-$$$","4.5/5 TA / 4.8 Google","80+ TA","N/A","Tripadvisor","Bal Harbour"
"Bh Burger","Bal Harbour Shops","Bal Harbour, FL 33154","American/Steakhouse/Burgers","$$-$$$","4.3/5 TA","89+ TA","N/A","Tripadvisor","Bal Harbour"
"Hillstone Restaurant at Bal Harbour","9700 Collins Ave","Bal Harbour, FL 33154","American","$$$","4.1/5 TA/Google","N/A","N/A","Wanderlog","Bal Harbour"
"Avenue 31 Cafe","9700 Collins Ave 2nd Fl","Bal Harbour, FL 33154","Italian/European Cafe","$$$","4.7/5 TA / 4.8 Google","N/A","N/A","Wanderlog","Bal Harbour"
"Cacio e Pepe Italian Restaurant","Near Bal Harbour Shops","Bal Harbour, FL 33154","Italian","$$","3.5/5 TA / 4.3 Google","N/A","N/A","Wanderlog","Bal Harbour"
"Morla","1052 Kane Concourse","Bay Harbor Islands, FL 33154","Peruvian/Baja fusion","$$$","4.9/5 Google","245","N/A","dishmiami","Bay Harbor Islands"
"Emilio's Trattoria","1088 Kane Concourse","Bay Harbor Islands, FL 33154","Italian","$$$","4.4/5 Google","180","N/A","Web search","Bay Harbor Islands"
"Bay Harbor Bistro & Bakery","1023 Kane Concourse","Bay Harbor Islands, FL 33154","American Breakfast/Brunch","$$","N/A","151+ Yelp","N/A","Yelp/Web search","Bay Harbor Islands"
"Pura Vida Bay Harbor","1001 Kane Concourse","Bay Harbor Islands, FL 33154","Health Food","$$","N/A","N/A","N/A","Web search","Bay Harbor Islands"
"Mamale Cafe & Pizza Bar","1017 Kane Concourse","Bay Harbor Islands, FL 33154","Kosher Pizza/Cafe","$$","4.8/5 Google","85","N/A","Web search","Bay Harbor Islands"
"Open Kitchen By Pure Simple Cooking","Kane Concourse","Bay Harbor Islands, FL 33154","Health Food","$$","N/A","N/A","N/A","Web search","Bay Harbor Islands"
"La Cabrera Sunny Isles","17100 Collins Ave","Sunny Isles Beach, FL 33160","Argentine Steakhouse","$$$$","N/A","126+ Yelp","N/A","Yelp/Web search","Sunny Isles Beach"
"Chayhana Oasis","Sunny Isles Beach","Sunny Isles Beach, FL 33160","Uzbek","$$$","4.4/5 Google","449","N/A","Web search","Sunny Isles Beach"
"Baires Grill - Sunny Isles","Sunny Isles Beach","Sunny Isles Beach, FL 33160","Argentine","$$$","4.3/5 Google","719","N/A","Web search","Sunny Isles Beach"
"Old Lisbon (Sunny Isles)","Sunny Isles Beach","Sunny Isles Beach, FL 33160","Portuguese","$$$","N/A","N/A","N/A","Web search","Sunny Isles Beach"
"Mykonos Kitchen & Bar","Sunny Isles Beach","Sunny Isles Beach, FL 33160","Greek/Japanese fusion","$$$","4.2/5 Google","357","N/A","Web search","Sunny Isles Beach"
"Reunion Ktchn Bar (Sunny Isles)","Sunny Isles Beach","Sunny Isles Beach, FL 33160","American/Eclectic","$$$","N/A","N/A","N/A","Web search","Sunny Isles Beach"
"Beach House Bar and Grill","Sunny Isles Beach","Sunny Isles Beach, FL 33160","American/Seafood","$$","N/A","N/A","N/A","Web search","Sunny Isles Beach"
"Gaby by Call Me Gaby (Sunny Isles)","Sunny Isles Beach","Sunny Isles Beach, FL 33160","Italian","$$$","N/A","N/A","N/A","Web search","Sunny Isles Beach"
"Avra Estiatorio Miami (Acqualina)","17875 Collins Ave (Estates at Acqualina)","Sunny Isles Beach, FL 33160","Greek","$$$$","N/A","N/A","N/A","Web search","Sunny Isles Beach"
"Timo Restaurant & Bar","17624 Collins Ave","Sunny Isles Beach, FL 33160","Italian/Mediterranean","$$$","4.5/5 Google","563","N/A","Web search","Sunny Isles Beach"
"Il Mulino New York - Sunny Isles Beach","17875 Collins Ave (Acqualina Resort)","Sunny Isles Beach, FL 33160","Italian","$$$$","4.3/5 Google","692","N/A","Forbes Travel Guide/Web search","Sunny Isles Beach"
"Gili's Beach Club","18001 Collins Ave (Trump Intl Beach Resort)","Sunny Isles Beach, FL 33160","Seafood/Sushi","$$$","4.1/5 Google","62","N/A","OpenTable/Trump Miami","Sunny Isles Beach"
"Rose Cafe & Restaurant","Sunny Isles Beach","Sunny Isles Beach, FL 33160","French/Healthy","$$","4.7/5 Google","294","N/A","Web search","Sunny Isles Beach"
"Azzurro (Trump Intl)","18001 Collins Ave","Sunny Isles Beach, FL 33160","Italian","$$$","N/A","N/A","N/A","Web search","Sunny Isles Beach"
"BALEENkitchen (Sunny Isles)","Sunny Isles Beach","Sunny Isles Beach, FL 33160","Eclectic/International","$$$","4.2/5 Google","280","N/A","Web search","Sunny Isles Beach"
"Fam Fre (Family Fresh Cafe)","Sunny Isles Beach","Sunny Isles Beach, FL 33160","Brasserie","$$","N/A","N/A","N/A","Web search","Sunny Isles Beach"
"Ke-uH (Acqualina Resort)","17875 Collins Ave","Sunny Isles Beach, FL 33160","Japanese Fusion","$$$$","4.3/5 Google","185","N/A","Web search","Sunny Isles Beach"
"Costa Grill (Acqualina Resort)","17875 Collins Ave","Sunny Isles Beach, FL 33160","Beachfront/Mediterranean","$$$","N/A","N/A","N/A","Web search","Sunny Isles Beach"
"Saka Mori (Trump Intl)","18001 Collins Ave","Sunny Isles Beach, FL 33160","Japanese Fusion","$$$","N/A","N/A","N/A","Web search","Sunny Isles Beach"
