Name,Latitude,Longitude,Address,City,Region,Cuisine,Price,Rating,Reviews
Aviv,25.799219,-80.127285,2341 Collins Ave,"Miami Beach, FL 33139",Miami Beach,Israeli,$$$,4.4/5 Google,253
Blue Ribbon Sushi Bar & Grill,25.796817,-80.130636,336 21st St (Plymouth Hotel),"Miami Beach, FL 33139",Miami Beach,Japanese,$$$,4.5/5 Google,1440
Call Me Gaby,25.768955,-80.135535,22 Washington Ave,"Miami Beach, FL 33139",Miami Beach,Italian,$$$,4.1/5 Google,928
Carbone Miami,25.769268,-80.133895,49 Collins Ave,"Miami Beach, FL 33139",Miami Beach,Italian,$$$$,4.3/5 Google,2098
Estiatorio Milos,25.769735,-80.135695,730 First St,"Miami Beach, FL 33139",Miami Beach,Greek/Seafood,$$$$,4.5/5 Google,1828
Joe's Stone Crab,25.768864,-80.135159,11 Washington Ave,"Miami Beach, FL 33139",Miami Beach,Seafood,$$$$,4.5/5 Google,11551
The Joyce,25.786823,-80.132758,448 Espanola Way,"Miami Beach, FL 33139",Miami Beach,American,$$$$,4.3/5 Google,120
Las' Lap Miami,25.79869,-80.130407,2216 Park Ave,"Miami Beach, FL 33139",Miami Beach,Afro-Caribbean,$$$$,4.7/5 Google,143
The Lido Bayside Grill,25.791946,-80.149285,40 Island Ave (Standard Spa),"Miami Beach, FL 33139",Miami Beach,American,$$$$,3.7/5 Google,722
Lucali,25.795203,-80.143986,1930 Bay Rd,"Miami Beach, FL 33139",Miami Beach,Pizza/Italian,$$,4.2/5 Google,1760
Macchialina,25.778583,-80.141152,820 Alton Rd,"Miami Beach, FL 33139",Miami Beach,Italian,$$$,4.4/5 Google,1708
Mila,25.790268,-80.13676,1636 Meridian Ave / 800 Lincoln Rd Fl 3,"Miami Beach, FL 33139",Miami Beach,Eclectic/Japanese,$$$$,4.8/5 Google,20800
LT South Beach (The Betsy Hotel),25.78658,-80.1299,1440 Ocean Dr,"Miami Beach, FL 33139",Miami Beach,American,$$$,4.4/5 Google,619
Prime 112,25.769904,-80.133225,112 Ocean Dr,"Miami Beach, FL 33139",Miami Beach,Steakhouse,$$$$,4.1/5 Google,2959
Puerto Sagua,25.777129,-80.13276,700 Collins Ave,"Miami Beach, FL 33139",Miami Beach,Cuban,$$,4.5/5 Google,8718
Stubborn Seed,25.770332,-80.134838,101 Washington Ave,"Miami Beach, FL 33139",Miami Beach,New American/French,$$$$,4.5/5 Google,1438
Sweet Liberty Drink & Supply Co.,25.796009,-80.129724,237 20th St Ste B,"Miami Beach, FL 33139",Miami Beach,American Gastropub,$$$,4.6/5 Google,2698
Vecinos,25.80696,-80.12504,3101 Indian Creek Dr,"Miami Beach, FL 33140",Miami Beach,Latin Bar/Grill,$$$,7.6/10 Infatuation,N/A
Cho Funky Asian Bistro,25.792207,-80.14183,1209 17th St,"Miami Beach, FL 33139",Miami Beach,Southeast Asian,$$$,4.9/5 Google,86
Queen,25.775506,-80.134623,550 Washington Ave,"Miami Beach, FL 33139",Miami Beach,Japanese,$$$,4.3/5 Google,1206
The Alley,25.786552,-80.130286,1433 Collins Ave,"Miami Beach, FL 33139",Miami Beach,Pizza,$$,4.5/5 Google,229
