"Name","Address","City","Cuisine","PriceRange","Rating","ReviewCount","Phone","Source","Region"
"Aviv","2341 Collins Ave","Miami Beach, FL 33139","Israeli","$$$","4.4/5 Google","253","N/A","Miami New Times","Miami Beach"
"Blue Ribbon Sushi Bar & Grill","336 21st St (Plymouth Hotel)","Miami Beach, FL 33139","Japanese","$$$","4.5/5 Google","1440","N/A","The Infatuation","Miami Beach"
"Call Me Gaby","22 Washington Ave","Miami Beach, FL 33139","Italian","$$$","4.1/5 Google","928","N/A","The Infatuation","Miami Beach"
"Carbone Miami","49 Collins Ave","Miami Beach, FL 33139","Italian","$$$$","4.3/5 Google","2098","N/A","Miami New Times","Miami Beach"
"Estiatorio Milos","730 First St","Miami Beach, FL 33139","Greek/Seafood","$$$$","4.5/5 Google","1828","N/A","Miami New Times","Miami Beach"
"Joe's Stone Crab","11 Washington Ave","Miami Beach, FL 33139","Seafood","$$$$","4.5/5 Google","11551","N/A","The Infatuation","Miami Beach"
"The Joyce","448 Espanola Way","Miami Beach, FL 33139","American","$$$$","4.3/5 Google","120","N/A","The Infatuation","Miami Beach"
"Las' Lap Miami","2216 Park Ave","Miami Beach, FL 33139","Afro-Caribbean","$$$$","4.7/5 Google","143","N/A","Miami New Times","Miami Beach"
"The Lido Bayside Grill","40 Island Ave (Standard Spa)","Miami Beach, FL 33139","American","$$$$","3.7/5 Google","722","N/A","The Infatuation","Miami Beach"
"Lucali","1930 Bay Rd","Miami Beach, FL 33139","Pizza/Italian","$$","4.2/5 Google","1760","N/A","The Infatuation","Miami Beach"
"Macchialina","820 Alton Rd","Miami Beach, FL 33139","Italian","$$$","4.4/5 Google","1708","N/A","The Infatuation","Miami Beach"
"Mila","1636 Meridian Ave / 800 Lincoln Rd Fl 3","Miami Beach, FL 33139","Eclectic/Japanese","$$$$","4.8/5 Google","20800","N/A","The Infatuation","Miami Beach"
"LT South Beach (The Betsy Hotel)","1440 Ocean Dr","Miami Beach, FL 33139","American","$$$","4.4/5 Google","619","N/A","Miami New Times","Miami Beach"
"Prime 112","112 Ocean Dr","Miami Beach, FL 33139","Steakhouse","$$$$","4.1/5 Google","2959","N/A","The Infatuation","Miami Beach"
"Puerto Sagua","700 Collins Ave","Miami Beach, FL 33139","Cuban","$$","4.5/5 Google","8718","N/A","Miami New Times","Miami Beach"
"Stubborn Seed","101 Washington Ave","Miami Beach, FL 33139","New American/French","$$$$","4.5/5 Google","1438","N/A","Miami New Times (Michelin star)","Miami Beach"
"Sweet Liberty Drink & Supply Co.","237 20th St Ste B","Miami Beach, FL 33139","American Gastropub","$$$","4.6/5 Google","2698","N/A","The Infatuation","Miami Beach"
"Vecinos","3101 Indian Creek Dr","Miami Beach, FL 33140","Latin Bar/Grill","$$$","7.6/10 Infatuation","N/A","N/A","The Infatuation","Miami Beach"
"Cho Funky Asian Bistro","1209 17th St","Miami Beach, FL 33139","Southeast Asian","$$$","4.9/5 Google","86","N/A","The Infatuation","Miami Beach"
"Queen","550 Washington Ave","Miami Beach, FL 33139","Japanese","$$$","4.3/5 Google","1206","N/A","The Infatuation","Miami Beach"
"The Alley","1433 Collins Ave","Miami Beach, FL 33139","Pizza","$$","4.5/5 Google","229","N/A","The Infatuation","Miami Beach"
"Tropezon","512 Espanola Way","Miami Beach, FL 33139","Spanish","$$$","4.3/5 Google","258","N/A","The Infatuation","Miami Beach"
"Kalamata Mediterranean Cuisine","423 Washington Ave","Miami Beach, FL 33139","Turkish/Mediterranean","$$","4.8/5 Google","608","N/A","The Infatuation","Miami Beach"
"Abbale Modern Mediterranean Kitchen","864 Commerce St","Miami Beach, FL 33139","Israeli/Mediterranean","$$$","4.6/5 Google","1243","N/A","The Infatuation","Miami Beach"
"Havana 1957 Cuban Cuisine (Espanola Way)","405 Espanola Way","Miami Beach, FL 33139","Cuban","$$","4.5/5 Google","8745","N/A","The Infatuation","Miami Beach"
"Orilla Bar & Grill","426 Euclid Ave","Miami Beach, FL 33139","Argentinian","$$$","4.6/5 Google","612","N/A","The Infatuation","Miami Beach"
"Las Olas Cafe","644 6th St","Miami Beach, FL 33139","Cuban","$$","4.3/5 Google","2607","N/A","The Infatuation","Miami Beach"
"Under The Mango Tree","737 5th St","Miami Beach, FL 33139","Vegetarian","$$","4.6/5 Google","526","N/A","The Infatuation","Miami Beach"
"Paya Miami","1209 17th St","Miami Beach, FL 33139","Caribbean","$$$","5/5 Timeout","N/A","N/A","Timeout Miami","Miami Beach"
"A La Folie","516 Espanola Way","Miami Beach, FL 33139","French Cafe/Bistro","$$","4.4/5 Google","443","N/A","Timeout Miami","Miami Beach"
"Mimi Chinese","1575 Alton Rd Unit 2","Miami Beach, FL 33139","Chinese","$$$","4/5 Timeout","N/A","N/A","Timeout Miami","Miami Beach"
"Mango's South Beach","900 Ocean Dr","Miami Beach, FL 33139","Latin/Tropical","$$$","N/A","N/A","N/A","Web search","Miami Beach"
"J'Adore Miami Beach","Ocean Dr","Miami Beach, FL 33139","Coastal Latin","$$$","4.4/5 Google","89","N/A","Web search","Miami Beach"
"News Cafe","800 Ocean Dr","Miami Beach, FL 33139","American Cafe","$$","4.8/5 Google","2322","N/A","Web search","Miami Beach"
"Azabu Miami Beach","Ocean Dr area","Miami Beach, FL 33139","Japanese","$$$$","4.7/5 Google","862","N/A","Web search","Miami Beach"
"The Front Porch Cafe","Ocean Dr","Miami Beach, FL 33139","American Breakfast","$$","4.2/5 Google","839","N/A","Web search","Miami Beach"
"A Fish Called Avalon","Ocean Dr","Miami Beach, FL 33139","Seafood","$$$","4.6/5 Google","1540","N/A","Web search","Miami Beach"
"Alma Cubana","Ocean Dr","Miami Beach, FL 33139","Cuban","$$","4.9/5 Google","907","N/A","Web search","Miami Beach"
"Serena","Ocean Dr","Miami Beach, FL 33139","Italian","$$$","N/A","N/A","N/A","Web search","Miami Beach"
"Naked Taco","Ocean Dr","Miami Beach, FL 33139","Mexican","$$","4.6/5 Google","734","N/A","Web search","Miami Beach"
"Osteria da Fortunata","Lincoln Rd","Miami Beach, FL 33139","Italian","$$$","4.6/5 Google","615","N/A","The Infatuation (Lincoln Rd)","Miami Beach"
"Spris","Lincoln Rd","Miami Beach, FL 33139","Pizza/Italian","$$","4.8/5 Google","526","N/A","Web search","Miami Beach"
"Yardbird Southern Table & Bar","1600 Lenox Ave","Miami Beach, FL 33139","Southern American","$$$","4.6/5 Google","6916","N/A","Web search","Miami Beach"
"Juvia","1111 Lincoln Rd","Miami Beach, FL 33139","Asian-Latin-French","$$$$","4.1/5 Google","2125","N/A","Web search","Miami Beach"
"YUCA","Lincoln Rd","Miami Beach, FL 33139","Cuban-American","$$$","N/A","N/A","N/A","Web search","Miami Beach"
"SuViche","Lincoln Rd","Miami Beach, FL 33139","Peruvian/Sushi","$$","N/A","N/A","N/A","Web search","Miami Beach"
"Issabellas","Lincoln Rd","Miami Beach, FL 33139","Mediterranean","$$","N/A","N/A","N/A","Web search","Miami Beach"
"Catch Miami Beach","200 South Pointe Dr","Miami Beach, FL 33139","Seafood","$$$$","4.2/5 Google","469","N/A","dishmiami (SoFi)","Miami Beach"
"INTIMO","840 1st St","Miami Beach, FL 33139","Peruvian","$$$","4.9/5 Google","723","N/A","dishmiami","Miami Beach"
"Kissaki","500 South Pointe Dr Ste 160","Miami Beach, FL 33139","Japanese","$$$$","4.4/5 Google","86","N/A","dishmiami","Miami Beach"
"The Lobster Shack","Multiple SoFi locations","Miami Beach, FL 33139","Seafood","$$","4.4/5 Google","1681","N/A","dishmiami","Miami Beach"
"PLANTA South Beach","850 Commerce St","Miami Beach, FL 33139","Plant-based/Vegan","$$$","4.3/5 Google","541","N/A","dishmiami","Miami Beach"
"RED South Beach","801 South Pointe Dr","Miami Beach, FL 33139","Steakhouse","$$$$","4.0/5 Google","521","N/A","dishmiami","Miami Beach"
"Fogo de Chao","South of Fifth","Miami Beach, FL 33139","Brazilian Steakhouse","$$$$","N/A","N/A","N/A","Web search (SoFi)","Miami Beach"
"Smith & Wollensky","1 Washington Ave","Miami Beach, FL 33139","Steakhouse","$$$$","4.4/5 Google","7064","N/A","Web search (SoFi)","Miami Beach"
"French 27","South of Fifth","Miami Beach, FL 33139","French","$$$$","N/A","N/A","N/A","Web search (SoFi)","Miami Beach"
"HaSalon","South of Fifth area","Miami Beach, FL 33139","Israeli","$$$$","N/A","N/A","N/A","Web search (SoFi)","Miami Beach"
"Lilikoi Organic Living","South of Fifth","Miami Beach, FL 33139","Healthy/Organic","$$","4.2/5 Google","218","N/A","Web search (SoFi)","Miami Beach"
"Pura Vida South Beach","South of Fifth","Miami Beach, FL 33139","Healthy","$$","4.1/5 Google","508","N/A","Web search (SoFi)","Miami Beach"
"Byblos Miami","1545 Collins Ave","Miami Beach, FL 33139","Mediterranean","$$$","4.5/5 Google","1650","N/A","Yelp/Web search","Miami Beach"
"Papi Steak","736 1st St","Miami Beach, FL 33139","Steakhouse","$$$$","3.9/5 Google","801","(305) 800-7274","Yelp/Web search","Miami Beach"
"Matador Room","2901 Collins Ave (Miami Beach EDITION)","Miami Beach, FL 33140","Modern Latin","$$$$","4.1/5 Google","595","N/A","Miami and Beaches","Miami Beach"
"Motek Miami Beach","Collins Ave","Miami Beach, FL 33140","Israeli/Middle Eastern","$$","4.7/5 Google","569","N/A","Miami and Beaches","Miami Beach"
"Hakkasan Miami","4441 Collins Ave (Fontainebleau)","Miami Beach, FL 33140","Cantonese","$$$$","4.2/5 Google","1023","N/A","Miami and Beaches","Miami Beach"
"Pikio Taco","Hotel Rendale","Miami Beach, FL 33140","Mexican","$$","4.4/5 Google","316","N/A","Miami and Beaches","Miami Beach"
"Aguasal by Jose Andres","Andaz Miami Beach","Miami Beach, FL 33140","Mediterranean-Miami","$$$$","N/A","N/A","N/A","Miami and Beaches","Miami Beach"
